War,qid,description
Ashanti Rising,,
Ashikaga Rebellion,,
Assyrian Wars,,
Attack on the Canton Forts,,
Austro-Hungarian War,,
Axum Meroite War,,
Aztec Wars of Conquest,,
Babylon's War of Conquest,,
Bacon's Rebellion,Q798594,1676 Virginia rebellion against the colonial government
Bahmani-Vijayanagar Wars,,
Balkan National Wars,,
Baluchi Rebellion,,
Bangladesh Liberation War ,Q371394,conflict that led to the independence of the majority-Bengali country
Bannock War,Q2321496,1878 armed conflict between Bannock and Paiute warriors
Baputhi War,,
Bar-Cocheba's Revolt,,
Battle of Alfarrobeira,Q2887822,1449 battle
Battle of Carchemish,Q633560,ancient battle between Egypt and Babylon
Battle of Dong Dang,Q4870894,1885 battle of the Sino-French War in northern Vietnam
Battle of Grahovac,Q3545065,1858 battle
Battle of Karameh,Q1930278,1968 battle between Israel and the PLO and Jordan
Battle of Legnano,Q283364,1176 medieval battle
Battle of Mogadishu,Q52226,"battle fought on 3 and 4 October 1993, in Mogadishu, Somalia"
Battle of Naissus,Q929265,battle between the Goths and the Romans under Emperor Gallienus (268/269)
Battle of Qatwan,Q3950956,1141 battle in Central Asia
Battle of Soissons,Q1115943,battle in 718
Battle of Sybota,Q951932,433 BCE battle during the Peloponnesian War
Battle of the Elleporus,Q1752814,battle between Syracuse and the Italiote League (389 BC)
Bay of Pigs Invasion,Q191721,failed landing operation of Cuba in 1961
Belgian War,Q792317,Belgian breed of horse
Bengal War,Q65077587,
Berber Revolt,Q759998,war
Bijapur-Maratha Wars,,
Bishops' Wars,Q807843,17th-century religious conflicts in Britain
Bizerte crisis,Q879267,1961 conflict between France and Tunisia
Black Hawk War,Q879980,1832 conflict between the United States and Native Americans
Blackfoot Indian Wars,,
Boer Matabele War,,
Boer-Matabele War,,
Bohemian Wars,Q478301,15th-century wars fought between Protestant Hussites and Catholic forces
Bolivian War of Independence,Q68475,armed conflict in Bolivia between 1809 and 1825
Bolivian-Peruvian War,,
Bosnian War,Q181533,1992–1995 armed conflict in Bosnia and Herzegovina
Boxer Rebellion,Q150229,anti-imperialist uprising which took place in China 1899-1901
Brabantine Rebellion,,
Branas Rebellion,,
Brazilian War of Independence,Q3082702,1822–1823 war between Portugal and Brazil
Brazillian Occupation of Uruguay,,
Breton Rebellion,,
British Afghan War,,
British Civil Wars,Q2577772,"British civil wars, 1639–1651"
British Conquest of Nigeria,,
British Conquest of Northern Nigeria,,
British Conquest of Sierra Leone,,
British Conquest of Sindh,Q116044955,campaign of the British conquest of India (1843)
British Expedition to Ethiopia,,
British Expeditions against Malay Piracy,,
British Gwalior War,,
British expedition to Tibet,Q592550,expedition to and invasion of Tibet 1903-1904
British-Bhutanese Wars,,
British-Gurkha Wars,,
British-Maratha Wars,,
British-Mysore War,,
British-Satsuma War,,
Brunei Revolt,Q3299246,December 1962 insurrection in the British protectorate of Brunei
Bulavin Rebellion,Q4098701,1707-1708 Cassock revolt against Russian rule
Bulgarian Imperial Wars,,
Burgundian Wars,Q315342,"conflict between the Dukes of Burgundy and the Old Swiss Confederacy, 1474–77"
Burmese Civil Wars,,
Burmese Dynastic Wars,,
Burmese-Laotian War,,
Burmese-Siamese wars,Q4116387,series of military conflicts between Burma and Siam
Byzantine Military Rebellion,,
Byzantine Muslim Wars,,
Byzantine War of Succession,,
Byzantine Wars of Tsar Samuel,,
Byzantine-Bulgarian wars,,
Byzantine-Latin wars,,
Byzantine-Norman wars,,
Byzantine-Ottoman Wars,Q630259,conflict
Byzantine-Pecheneg Wars,Q109390475,
Byzantine-Russian Wars,,
Byzantine-Seljuk wars,,
Byzantine-Serbian wars,,
Cambodian Civil War,Q817206,civil war in Cambodia between 1970 and 1975
Cambodian-Spanish War,,
Campaigns of the Prophet Mohammad,,
Canadian Rebellion,,
Canadian River Expedition,,
Carlist Wars,Q1178424,series of wars in 19th-century Spain
Carolingian Imperial Wars,,
Carthaginian Invasion of Sicily,,
Carthaginian-Greek Wars,,
Castilian War of Succession,,
Catalonian Uprising,,
Catiline Revolt,,
Cayuse Indian War,,
Central American Civil Wars,Q96167044,Wikimedia disambiguation page
Chaco War,Q223126,war between Bolivia and Paraguay
Chadian Civil War of 1965-1979,,
Chadian-Libyan War,,
Cheyenne Indian War,,
Chickasaw-French War,,
Chilean Civil War of 1891,Q2704441,conflict between Congress and President
Chilean Conservative Revolution,,
Chilean War of Independence,Q1072889,"1812–1827 war between patriots and royalists, which resulted in the ''de facto'' independence of Chile from the Spanish Crown"
China's Era of the Warring States,,
Chinese Civil War,Q179975,1927–1949 civil war between the Kuomintang and the Communist Party in China
Chinese Conquest of Taiwan,,
Chinese Conquest of Tibet,Q20811334,Wikimedia disambiguation page
Chinese-Mongol Wars,,
Chitral Campaign,,
Chremonidian War,,
Christian Reconquest of Portugal,,
Christian Reconquest of Zamora,,
Christian Rising in Armenia,,
Christian-Muslim Wars in Spain,,
Chu-Han War,,
Civil War of Emperor Severus,,
Cleomenic War,,
Colombia-Peru War,,
Colombian Civil War,Q3119160,series of conflicts in Colombia during the 19th century
Colombian War of Independence,Q3063789,1810 war leading to Colombian Independence
Comanche Wars,Q5150525,"conflicts over Comanche lands, 1706 to 1870s"
Comuneros Uprising,,

Condottieri Wars,,
Congolese Civil War,Q364610,number of armed internal conflicts in the present-day countries of the DR Congo and the Republic of the Congo in Central Africa
Conquest of al-Hasa,Q16692266,1913 event in the unification of Saudi Arabia
Conquest of the Desert,Q1348983,1870's-80's Argentine campaign in Patagonia
Corfu Incident,Q2008840,1923 Greek–Italian military crisis
Corinthian War,Q651008,395-387 BCE Greek conflict
Corsair Wars,,
Costa Rican Civil War,Q3434218,1948 conflict in Costa Rica
Counts War,,
Creek Indian Wars,,
Cresaps War,,
Crimean War,Q254106,military conflict fought between October 1853 – March 1856
Crusades,Q12546,mass military expeditions and wars initiated by the Catholic Church in the High Middle Ages
Cuban Revolution,Q11264,revolution in Cuba culminating in 1959
Cuban War of Independence,Q1514908,"armed conflict between the United States, Cuba and Spain"
Dackes Rebellion,,
Dacres Rebellion,,
Danish Conquest of England,,
Danish Counts War,,
Danish War of Succession,,
Danish Wars of Expansion,,
DanishâHanseatic War,,
Dano-Swedish Wars,Q680474,series of wars
Deccan wars,Q139845,wars between the Maratha Empire and the Mughal Empire
Defense of the Great Wall,Q708451,1933 campaign between the armies of China and Japan before the Second Sino-Japanese War
Delhi Sultanate-Bengal War,,
Dhofar War,Q2363565,Civil war in the Sultanate of Muscat and Oman
Diaz Revolt in Mexico,,
Diaz Revolt in Uruguay,,
Dominican Civil War,Q955457,1965 civil war in the Dominican Republic
Dominican War of Independence,,
Dominitians Dacian War,,
Douglas Rebellion,,
Drake's Caribbean Raids,,
Drakes Caribean Raid,,
Dummers War,,
Dungan Revolt,Q889879,Muslim minority revolt against Qing dynasty China
Dunmore's War,Q2632175,1774 war between Virginian colonist and Native Americans
Dutch Conquest of Aceh,,
Dutch Conquest of Bali,,
Dutch Spanish Colonial Wars,,
Dutch Wars in the East Indies,,
Dutch intervention in Bali (1906),,
Dutch-Indonesian War,,
Dutch-Portuguese War,Q377269,war (1602–1663) between the Dutch and Portuguese colonial empires
Dutch-Spanish Colonial Wars,,
Earlier Nine Year's War,,
Earlier Nine Years War,,
Early Assyrian Wars,,
Early Christian Reconquest of Spain,,
Early Dutch Indonesian Wars,,
Early Dutch Wars in the East Indies,,
Early Portuguese Colonial Wars in Asia,,
Early Roman Etruscan War,,
Early Russian Dynastic Wars,,
Early Syrian-Parthian War,,
Easter Rising,Q193689,"armed insurrection in Ireland during Easter Week, 1916"
Eastern Dynastic Muslim Wars,,
Eastern Muslim Dynastic Wars,,
Ecuador-Colombia War,,
Ecuadorian Civil War,Q1822896,process of political and economic transformation in Ecuador
Ecuadorian War of Independence,Q5334383,armed conflict in Ecuador between 1820 and 1822
Egyptian Conquest of Judah,,
Egyptian Crusade of Peter of Cyprus,,
Egyptian Wars of Expansion,,
Egyptian-Ethiopian War,,
Egyptian-Ethiopian Wars,,
Egyptian-Hittite Wars,,
Egyptian-Nubian War,,
Egyptian-Ottoman War (1831-1833),,
Egyptian-Ottoman War (1839-1841),,
Egyptian-Syrian Wars,,
Eighty Years War,Q164432,16th- and 17th-century Dutch revolt against the Habsburgs
El Porte,Q24001501,mountain in Spain
Emmets Insurrection,,
English Baron's Revolt,,
English Conquest of Wales,,
English Invasion of Ireland,,
English Invasion of Scotland,Q74455525,English invasion of Scotland in 1385
English Period of Anarchy,,
Eritrean War of Independence,Q607257,1961–1991 conflict within Ethiopia
Escobar Rebellion,Q6102461,conflict in northern Mexico in 1929 during the Maximato
Estonian War of Independence,Q1127302,1918–1920 war between Estonia and Soviet Russia
Ethiopian Civil War,Q257724,civil war in Ethiopia between 1974 and 1991
Ethiopian War,Q101231200,civil conflict that began in November 2020 in the Tigray Region of Ethiopia
Ethiopian-Adal War,,
Ethiopian-Eritrean War,,
Etruscan War,,
Eureka Rebellion,Q2164870,"1854 miners' revolt in Victoria, Australia"
European wars of religion,Q2490042,series of wars waged in Europe during the 16th and 17th centuries
Falklands War,Q48249,undeclared war between Argentina and the United Kingdom in 1982
Fall of Ghana,,
Fall of the Qin Dynasty,,
Fall of the Western Roman Empire,Q608613,loss of central political control in the Western Roman Empire in late antiquity
Fall of the Xin Dynasty,,
Filibuster War,Q5027839,Attempt by William Walker to take over Nicaragua
Final Christian Reconquest of Spain,,
Finnish Civil War,Q211855,1918 civil war in Finland
First Anglo-Afghan War,Q989092,1838–1842 war between the British Empire and the Emirate of Afghanistan
First Anglo-Burmese War,Q29122,first (5 March 1824 – 24 February 1826) of three wars fought between the British and Burmese Empire
First Anglo-Maratha War,Q1362209,"war between the British East India Company and the Maratha Empire, 1775-1782"
First Anglo-Mysore War,Q617070,conflict in India between the Sultanate of Mysore and the East India Company.
First Anglo-Sikh War,Q582584,conflict between the Sikh Empire and the British East India Company
First Balkan War,Q177918,war involving the Balkan League and the Ottoman Empire
First Barons War,,
First Barons' War,Q2086498,civil war in the Kingdom of England (1215-1217)
First Boer War,Q329203,military conflict in South Africa (1880–1881)
First British Ashanti War,,
First British-Ashanti War,,
First Carnatic War,Q1362162,(1746-1748)
First Chechen War,Q29269,war fought from 1994 to 1996 in Chechnya
First Franco-Dahomean War,Q2092939,1890 war between France and Dahomey
First Honduran Civil War,Q6086281,war in Honduras
First Indochina War,Q748780,1946–1954 French colonial war in Vietnam
First Italian War of Independence,Q920894,"1848-1849 conflict, part of the Italian unification (Risorgimento)"
First Italo-Ethiopian War,Q989115,1895-1896 war between the Ethiopian Empire and the Kingdom of Italy
First Madagascar expedition,Q942561,1883 French military expedition against the Merina Kingdom on the island of Madagascar
First Opium War,Q191282,war between Great Britain and China in the 19th century
First Sacred War,Q1249250,Ancient military conflict
First Saudi-Rashidi War ,,
First Schleswig War,Q685683,military conflict 1848–1851
First Serbian Uprising,Q368689,part of the Serbian Revolution
First Servile War,Q618066,"ancient Roman slave rebellion, 135-132 BCE"
First Sino-Japanese War,Q178687,"1894–1895 war between the Qing dynasty and the Empire of Japan over influence in Joseon, fought chiefly in Joseon"
First War of Scottish Independence,Q3242848,war between English and Scottish forces
First War of Villmergen,Q1267097,Swiss religious war in 1656
First Zhili-Fengtian War ,,
First Zulu Civil War,,
Flammock's Rebellion,,
Florentine Pisan Wars,,
Florentine-Milanese War,,
Florentine-Milanese Wars,,
Florentine-Neapolitan War,,
Florentine-Pisan Wars,,
Fourth Anglo-Mysore War,Q617782,war
Fourth Macedonian War,Q552373,war
Fourth Sacred War,Q1669192,
Franco- Burgundian Wars,,
Franco-Austrian War,Q5484456,Wikimedia disambiguation page
Franco-Barbary Wars,,
Franco-Burgundian Wars,,
Franco-Dutch War,Q646322,conflict between the Dutch Republic and France and their allies (1672-1678)
Franco-Flemish Wars,,
Franco-Frisian War,,
Franco-Genoese War,,
Franco-Habsburg War,,
Franco-Habsburg Wars,,
Franco-Prussian War,Q46083,1870–1871 military conflict of the Second French Empire versus Prussia and its allies
Franco-Spanish War,Q617333,1635–1659 war
Franco-Spanish Wars,,
Franco-Syrian War,Q2992403,1920 war in the Middle East
Franco-Thai War of 1688,,
Franco-Visigothic Wars,Q60760993,series of wars between the Franks and the Visigoths
Frankish Civil Wars,,
Frankish Imperial Wars,,
Frankish War of Succession,,
Frankish-Alemmanic War,,
Frederick's 1st Expedition to Italy,,
Frederick's 2nd Expedition to Sicily,,
Frederick's 3rd Expedition to Italy,,
Frederick's Expedition to Italy,,
Frederick's Second Expedition to Italy,,
French Baron's War,,
French Civil War,Q67010068,Wikimedia disambiguation page
French Colonial War in North Africa,,
French Colonial Wars in North Africa,,
French Conquest of Algeria,Q2629782,"sequence of military campaigns, from 1830 until 1902"
French Conquest of Chad,,
French Conquest of Indo-China,,
French Conquest of Quebec,,
French Revolutionary War (Vendee),,
French Revolutionary War (Vendeen War),,
French Revolutionary Wars,Q207318,1792–1802 series of conflicts between the French Republic and several European monarchies
French Revolutionary Wars (1st Coaltion),,
French Revolutionary Wars (2nd Coaltion),,
French Revolutionary Wars (First Coaltion),,
French Revolutionary Wars (Vendee,,
French Revolutionary Wars (Vendee Revolt),,
French Revolutionary Wars (Vendeen War),,
French Revolutionary Wars 1st Coalition,,
French Revolutionary Warsf,,
French War,Q673175,religious and military conflicts between Protestants and Catholics in France from 1562 to 1598
French War of,Q16533921,"conflict between England and France from 1294 to 1303, chiefly around Gascony and Flanders"
French War of Henry VIII,,
French War of Richard I,,
French Wars of Religion,Q673175,religious and military conflicts between Protestants and Catholics in France from 1562 to 1598
French-Aragonese War,,
French-Canadian Rebellion,,
Fronde,Q9263918,1902 Arquebuse-class destroyer
Frontier War,Q64072748,scientific article published on 01 May 2019
Gallic Invasion of Italy,,
Gallic Wars,Q202161,war (58–50 BCE) between the Roman Republic and Gaul
Gallic Wars in Italy,,
Garibaldi's First March on Rome,,
Garibaldi's Second March on Rome,,
Garibaldis Second March on Rome,,
Gdansk War,,
Gempei War,Q737542,conflict during late-Heian period of Japan
Genko War,Q1432624,civil war
Genoese-Pisan War,,
Genoese-Turkish War,,
Georgian-Iranian Conflict,,
Geradline Rebellion,,
Geraldine Rebellion,,
German Civil Wars,,
German Colonial Wars in Africa,,
German Ducal Wars,,
German Imperial Wars,,
German Invasion of Italy,,
German Knights War,,
German Peasant's War,,
German Peasants War,,
German Peasants' War,Q154031,conflict
German Towns War,,
German War of Succession,,
German-Magyar War,,
Ghor-Ghazni Wars,,
Ghor-Khwarezmian War,,
Giaou Chau,,
Gildos Rebellion,,
Glendower's Rebellion,,
Glorious Revolution,Q189508,British revolution of 1688
Gosannen War,Q1187411,fought in the 1080s in Mutsu Province on the Japanese island of Honshū
Gothic Wars,Q3331223,
Gran Colombia-Peru War,,
Great Frontier Rising,,
Great Northern War,Q151616,conflict between anti-Swedish coalition Led by Russia and Swedish empires in 1700–1721
Great Rebellion of 1817-1818,,
Great Syrian Revolt,Q1968718,uprising against the French rule in Mandatory Syria and Lebanon
Greco-Persian Wars,Q76026,series of conflicts between the Achaemenid Empire of Persia and poleis of the Hellenic world in the fifth century BCE
Greco-Turkish War,Q87138,war lasting from 1919 to 1922 during the Turkish War of Independence
Greco-Turkish War (1897),Q657055,1897 war between the Kingdom of Greece and the Ottoman Empire
Greek Civil War,Q188972,1943–1949 civil war in Greece
Greek War,Q182062,Greek rebellion against the Ottoman Empire (1821–1829)
Greek War n of Independence,,
Greek War of Independence,Q182062,Greek rebellion against the Ottoman Empire (1821–1829)
Greek Wars of Independence,,
Guarani War,Q2427419,war in South America in 1756
Guatemalan Civil War,Q1282732,1960–1996 civil war in Guatemala
Guelf-Ghibbeline Wars,,
Guelf-Ghibeline Wars,,
Guelf-Ghibelline Wars,,
Gugler's War,Q109317878,
Guinea-Bissau War of Independence,Q2609193,1963-1974 armed conflict in Portuguese Guinea
Guinea-Bissau War of Independence ,Q2609193,1963-1974 armed conflict in Portuguese Guinea
Gulf War,Q37643,1990–1991 conflict between Iraq and a 42-country coalition
Guo Huaiyi rebellion,Q6165289,17th-century revolt on Taiwan
Guo Songling's Revolt,,
Gutierrez Rebellion,,
Gutierrez-Magee Expedition,,
Habsburg Wars of Succession,,
Habsburg-Ottoman War,Q1032343,1540–1547 war between Ottoman Empire and the Habsburg Monarchy
Habsburg-Polish War,Q3016850,wars of succession involving the states and peoples of Europe
Habsburg-Swiss Wars,,
Habsburg-Valois War,Q2524228,1550s war between France and the Holy Roman Empire
HanâXiongnu Wars,,
Hawaiian Wars,,
Hedgeley Moor,Q105985432,"moorland in Hedgeley parish, Northumberland, England, UK"
Heiji War,,
Herero and Nama genocide,Q312492,1904–1908 genocide committed by the German colonial administration in Africa
Hirotsuke's Rebellion,,
HispanoâMoroccan War,,
Hogen War,,
Huang Chao Rebellion,Q620621,874–884 uprising against Tang rule in China
Huguenot rebellions,Q3454505,rebellions in in the Kingdom of France
Hun Invasion of India,Q131471380,
Hun Invasion of the Roman Empire,,
Hun Ostrogoth Wars,,
Hun-Ostrogoth Wars,,
Hundred Years War,Q12551,series of conflicts and wars between England and France between 1337 and 1453
Hungarian Civil War,Q108582422,Military conflict
Hungarian National Wars,,
Hungarian Revolutionary War,,
Hungarian Revolutionary Wars,,
Hungarian-Czechoslovak War,,
Hungarian-Ottoman Wars,,
Hungarian-Romanian War,,
Hungarian-Venetian Wars,,
Huntly Rebellion,,
Hussite Wars,Q478301,15th-century wars fought between Protestant Hussites and Catholic forces
Ifni War,Q1640107,1957–1958 armed conflicts in Spanish West Africa
Ikhwan Revolt ,Q3938020,1927 uprising in Saudi Arabia
Illyrian Wars,,
Imperial Invasion of Sicily,,
Imperial Papal War,,
Imperial-Papal Wars,,
Inca Revolt,,
Inca War of Succession,,
Indian Campaigns of Ahmad Shah,,
Indian Campaigns of Ahmed Shah,,
Indian Dynastic War,,
Indian Dynastic Wars,,
Indian Mutiny,Q129864,1857–58 uprising against British Company rule
Indian War,Q129864,1857–58 uprising against British Company rule
Indo-Pakistani War of 1965,Q233583,culmination of skirmishes between India and Pakistan in 1965
Indo-Pakistani War of 1971,Q1922071,military confrontation between India and Pakistan alongside the Bangladesh Liberation War
Indo-Pakistani war of 1947-1948,,
Indonesia-Malaysia confrontation,Q1361929,military conflict (1963–1966)
Indonesian Civil Wars,,
Indonesian National Revolution,Q1332160,armed conflict and diplomatic struggle between Indonesia and the Dutch Empire
Indonesian War of Independence,Q1332160,armed conflict and diplomatic struggle between Indonesia and the Dutch Empire
Ingles Rebellion,,
Iran-Iraq War,Q82664,1980-1988 war between Iran and Iraq
Iranian Revolution,Q126065,1978–1979 revolution that overthrew the monarchy
Iraq-Iran War,Q82664,1980-1988 war between Iran and Iraq
Iraqi Revolt,Q616851,Iraqi uprising against British rule
Irish Baron's War,,
Irish Civil War,Q748042,conflict that followed the Irish War of Independence and accompanied the establishment of the Irish Free State
Irish Rebellion of 1798,Q944941,1798 rebellion during the French Revolutionary Wars
Irish War of Independence,Q208297,war of national liberation
Italian Regency of Carnaro,Q1423581,former country

Italian War,Q677316,91-87 BCE war between the Roman Republic and its rivals


Italian Wars,Q273348,Wars in Italy from the 15th to 16th centuries

Italo-Ethiopian War,Q3778598,military conflict between the Kingdom of Italy and the Ethiopian Empire between 1887-1889
Italo-Turkish War,Q203824,1911–12 war between the Ottoman Empire and the Kingdom of Italy


Jacobite rising of 1689,Q48785102,Revolt in Jacobitism
Jameson's Raid,,
January 28 incident,Q515545,conflict
Japan's Era of Warring States,,


Japanese Christian Uprising,,
Japanese Internal Conflict,,
Japanese Invasion of Korea,,

Jebel Akhdar War,Q6172500,1954-1959 armed conflict in Oman

Jewish Rising against Rome,,
Jewish-Babylonian War,,
Jin-Song Wars,,
Jinshin War,Q2378252,672 succession war in Japan
Jokyo Disturbance,,
Jugurthine War,Q669196,work by Sallust
Jurchen Invasion of Northern China,,
Kandyan Wars,Q6361719,British Army expeditionary campaigns

Kargil War,Q404517,1999 India–Pakistan conflict
Kett's Rebellion,Q27566029,"1549 revolt in Norfolk, England during the reign of Edward VI, largely in response to the enclosure of land"

Khmelnytsky Uprising,Q641479,Cossack rebellion within the Polish-Lithuanian Commonwealth in 1648–1657


King George's War,Q517578,North American theater of the War of the Austrian Succession
King Phillip's War,,

King William's War,Q1070342,North American theater of the Nine Years' War

Korean War,Q8663,"war between North and South Korea, 1950–1953"
Kuwait-Najd War,,
Lamian War,Q28365,fought by a coalition of Greek cities against Macedon and its ally Boeotia
Laotian Civil War,Q877450,1953–1975 civil war in Laos
Later Afghan War of Succession,,
Later Christian Reconquest of Spain,,
Later Christian-Muslim Wars in Spain,,
Later Dutch Wars in the East Indies,,
Later German Imperial Wars,,
Later Hungarian-Ottoman Wars,,
Later Indian Dynastic Wars,,

Later Mughal-Maratha Wars,,
Later Muslim Conquest of Northern India,,
Later Muslim Conquest of Northern Italy,,

Later Portuguese Colonial Wars,,
Later Portuguese Colonial Wars in Arabia,,
Later Portuguese Colonial Wars in Asia,,
Later Portuguese Colonial Wars in East Africa,,
Later Portuguese Wars in East Africa,,
Later Roman Etruscan War,,
Later Roman Military Civil Wars,,
Later Roman Parthian Wars,,
Later Roman Wars of Succession,,
Later Scottish Clan Wars,,
Later Wars of Wessex,,
Latin War,Q737907,"wars fought between ancient Rome (including both the Roman Kingdom and the Roman Republic) and the Latins, from the earliest stages of the history of Rome until the final subjugation of the Latins to Rome in the aftermath of the Latin War"
Latin-Epirote War,,
Latvian War of Independence,Q543042,series of military conflicts in Latvia between 1918 and 1920 after Soviet Russia invaded the newly proclaimed Republic of Latvia
Lebanese Civil War,Q208484,1975–1990 Civil War in Lebanon
Libyan-Chad War,,
Lithuanian Wars of Independence,Q2742886,"refer to three wars Lithuania fought defending its independence at the end of World War I: with Bolshevik forces (December 1918 – August 1919), Bermontians (June 1919 – December 1919), and Poland (August 1920 – November 1920)"
Little Wichita,Q16942578,river in the United States of America
Livonian War,Q246863,war in the Baltic region (1558-1583)
Lombard Invasion of Italy,,
Lubomirski's Rebellion,,
Maccabean War,,
Macedonian Wars,Q75813,series of conflicts between the Roman Empire and various Greek kingdoms
Macedonian-Egyptian Wars,,
Mad War,Q777345,late Medieval conflict between a coalition of feudal lords and the French monarchy
Magyar Invasion of Germany,,
Mahdist War,Q31944,British colonial war
Maji Maji Rebellion,Q705553,"Uprising in the south and east of German East Africa, 1905-1907."
Malagasy Uprising,Q2506639,1940s rebellion in Madagascar
Malwa-Bahmani Wars,,
Mameluco Wars,,
Mamluk Wars,,
Manchu Conquest of China,Q3427966,transition between two major dynasties in Chinese history between 1618 and 1683
Manchu Conquest of Korea,,
Manchu Restoration,Q1041813,attempt to restore the monarchy in China by Zhang Xun
Mandingo Wars,Q1450547,1883–1898 conflicts between France and the Mandingo people of West Africa
Maratha Civil War,,
Maratha Rebellions,,
Maratha Territorial Wars,,
Maratha War of Succession,,
Maratha-Mysore Wars,,
Marian Civil War,Q6762017,"period of conflict which followed the abdication of Mary, Queen of Scots, and her escape from Loch Leven Castle in May 1568"
Masakado Uprising,,
Masaniello's Insurrection,,
Masulipatam,Q845662,"city in Krishna district, Andhra Pradesh, India"
Matabele War,Q440315,Wikimedia disambiguation page
Matabele War Advancing,,
Mau Mau Uprising,Q476855,anti- colonial Insurgency in Kenya from 1952 to 1960
Mayan Revolt in Belize,,
McDonald Rebellion,,
Median-Lydian War,Q30893234,
Mexican Civil War,Q214426,nationwide armed struggle in Mexico (1910–1920)
Mexican Federalist War,,
Mexican Liberal Rebellion,,
Mexican Revolution,Q214426,nationwide armed struggle in Mexico (1910–1920)
Mexican War of Independence,Q68750,armed conflict which ended the rule of Spain in the territory of New Spain
Mexican invasions of 1842,,
Mexican-American War,Q6683,military conflict between the United States of America and Mexico from 1846 to 1848
Mexican-Apache Wars,,
Mexican-French War,,
Miguelite Wars,,
Milanese War of Succession,Q85785480,war of succession
Ming Imperial Wars,,
Mithridatic Wars,Q1616064,1st-century BCE wars between the Roman Republic and the Kingdom of Pontus
Modoc Indian War,,
Moldavian Civil War,,
Moldavian Revolt,,
Moldavian-Ottoman Wars,,
Mongol Conquest of Asia Minor,,
Mongol Conquest of China,,
Mongol Conquest of Europe,,
Mongol Conquest of Russia,,
Mongol Dynastic Wars,,
Mongol Invasion of Europe,Q852171,13th century conquests by the Mongol Empire
Mongol Invasion of India,Q19562959,1297–1298 Mongol military expedition in India
Mongol Invasion of the Middle East,,
Mongol Invasions of India,Q2079940,history of Mongols with India
Mongol Wars of Kublai Khan,,
Mongol invasions and conquests,Q2092093,series of Mongol invasions and conquests (1206–1405)
Monmouth Rebellion,Q1940446,1685 English rebellion against James II
Montenegran-Scutari War,,
Montenegrin-Ottoman War,Q4513932,

Morgan's Raid on Panama,,
Mormon War,Q1501025,"armed conflict in Utah Territory, USA between 1857–1858"
Moro Rebellion,Q11883242,1899–1913 conflict between the Moro peoples and the United States Army
Moroccan War,Q16877422,Wikimedia disambiguation page
Moroccan-Songhai War,,
Mughal Conquest of Northern India,,
